constraint,objective_value
ARstart_2021,3.81601516155555
AWRConvert2021Ac,34.0809735711028
AWRConvert2025Ac,29.7830132761028
AWRConvert2030Ac,24.1415962411028
AWRConvert2050Ac,22.5066198611028
AWRTotalAc_2021,0.0
AWRTotalAc_2025,0.0
AWRTotalAc_2030,0.0
AWRTotalAc_2050,0.0
ThinSetup,0.0
TotalAcreage,0.0
YearlyAcreage_2021,0.0
YearlyAcreage_2025,0.0
YearlyAcreage_2030,0.0
YearlyAcreage_2050,0.0
167NAcreage_2021,0.0
167NAcreage_2025,4.46284908441103
167NAcreage_2030,-0.386123659999996
167NAcreage_2050,6.94919205
167SAcreage_2021,0.0
167SAcreage_2025,5.69789887
167SAcreage_2030,6.04570389
167SAcreage_2050,14.3312416
505Acreage_2021,2.66456798666667
505Acreage_2025,4.50828651666666
505Acreage_2030,5.0554924
505Acreage_2050,26.11871493
608Acreage_2021,0.0
608Acreage_2025,3.24341583
608Acreage_2030,3.18715286
608Acreage_2050,15.23469162
999Acreage_2021,0.0
999Acreage_2025,-0.101026058
999Acreage_2030,0.0980658529999996
999Acreage_2050,1.249969006
ARCont2025_CAR,2.77956277711111
ARCont2025_NAR,5.862432836
ARCont2025_SAR,5.596956609
ARcont2030_CAR,2.74840140711111
ARcont2030_NAR,6.275406657
ARcont2030_SAR,5.347934065
ARcont2050_CAR,-12.0646652528889
ARcont2050_NAR,-5.947747114
ARcont2050_SAR,-11.216626046
ThinCont2025_167N,6.23177887830828
ThinCont2025_167S,7.39832486889725
ThinCont2025_505,10.1299993116667
ThinCont2030_167N,1.67414866889725
ThinCont2030_167S,7.83734826389724
ThinCont2030_505,10.094667675
ThinCont2050_167N,-10.8048558411028
ThinCont2050_167S,-6.51270003610277
ThinCont2050_505,7.17620320999999
