constraint,objective_value
ARstart_2021,14.9271262726667
AWRConvert2021Ac,34.7701966287469
AWRConvert2025Ac,30.4722363337469
AWRConvert2030Ac,24.8308192987469
AWRConvert2050Ac,23.1958429187469
AWRTotalAc_2021,0.0
AWRTotalAc_2025,0.0
AWRTotalAc_2030,0.0
AWRTotalAc_2050,0.0
ThinSetup,0.0
TotalAcreage,0.0
YearlyAcreage_2021,0.0
YearlyAcreage_2025,0.0
YearlyAcreage_2030,0.0
YearlyAcreage_2050,0.0
167NAcreage_2021,0.0
167NAcreage_2025,7.21974131498747
167NAcreage_2030,-0.386123659999996
167NAcreage_2050,6.94919205
167SAcreage_2021,0.0
167SAcreage_2025,5.69789887
167SAcreage_2030,6.04570389
167SAcreage_2050,14.3312416
505Acreage_2021,4.74790132000001
505Acreage_2025,6.59161985
505Acreage_2030,6.90281713
505Acreage_2050,26.11871493
608Acreage_2021,0.0
608Acreage_2025,3.24341583
608Acreage_2030,3.18715286
608Acreage_2050,15.23469162
999Acreage_2021,0.0
999Acreage_2025,-0.101026058
999Acreage_2030,0.0980658529999996
999Acreage_2050,1.249969006
ARCont2025_CAR,0.0017849993333332
ARCont2025_NAR,5.862432836
ARCont2025_SAR,5.596956609
ARcont2030_CAR,-0.0293763706666672
ARcont2030_NAR,6.275406657
ARcont2030_SAR,5.347934065
ARcont2050_CAR,-14.8424430306667
ARcont2050_NAR,-5.947747114
ARcont2050_SAR,-11.216626046
ThinCont2025_167N,8.2994480512406
ThinCont2025_167S,6.70910181125314
ThinCont2025_505,12.213332645
ThinCont2030_167N,0.984925611253138
ThinCont2030_167S,7.14812520625313
ThinCont2030_505,11.941992405
ThinCont2050_167N,-11.4940788987469
ThinCont2050_167S,-7.20192309374688
ThinCont2050_505,7.17620320999999
