constraint,objective_value
ARstart_2021,0.0
AWRConvert2021Ac,38.4092943731078
AWRConvert2025Ac,34.1113340781078
AWRConvert2030Ac,28.4699170431078
AWRConvert2050Ac,26.8349406631078
AWRTotalAc_2021,0.0
AWRTotalAc_2025,0.0
AWRTotalAc_2030,0.0
AWRTotalAc_2050,0.0
ThinSetup,0.0
TotalAcreage,0.0
YearlyAcreage_2021,0.0
YearlyAcreage_2025,0.0
YearlyAcreage_2030,0.0
YearlyAcreage_2050,0.0
167NAcreage_2021,0.0
167NAcreage_2025,21.7761322924311
167NAcreage_2030,-0.386123659999996
167NAcreage_2050,6.94919205
167SAcreage_2021,0.0
167SAcreage_2025,11.7686565574311
167SAcreage_2030,6.04570389
167SAcreage_2050,14.3312416
505Acreage_2021,0.0
505Acreage_2025,4.76908084666667
505Acreage_2030,5.37778554166667
505Acreage_2050,35.7853815966667
608Acreage_2021,0.0
608Acreage_2025,3.24341583
608Acreage_2030,3.18715286
608Acreage_2050,15.23469162
999Acreage_2021,0.0
999Acreage_2025,-0.101026058
999Acreage_2030,0.0980658529999996
999Acreage_2050,1.249969006
ARCont2025_CAR,5.668451666
ARCont2025_NAR,5.862432836
ARCont2025_SAR,5.596956609
ARcont2030_CAR,5.637290296
ARcont2030_NAR,6.275406657
ARcont2030_SAR,5.347934065
ARcont2050_CAR,-9.17577636399999
ARcont2050_NAR,-5.947747114
ARcont2050_SAR,-11.216626046
ThinCont2025_167N,19.2167412843233
ThinCont2025_167S,9.14076175432332
ThinCont2025_505,10.3907936416667
ThinCont2030_167N,-2.65417213310776
ThinCont2030_167S,3.50902746189223
ThinCont2030_505,10.4169608166667
ThinCont2050_167N,-15.1331766431078
ThinCont2050_167S,-10.8410208381078
ThinCont2050_505,16.8428698766667
